description,fdcId,dataType,publishedDate,brands,categories,code
"Fruit and vegetable smoothie, bottled",2710150,Survey (FNDDS),2024-10-31,,,
"Fruit and vegetable smoothie, no dairy",2710151,Survey (FNDDS),2024-10-31,,,
"Fruit and vegetable smoothie, with dairy",2710146,Survey (FNDDS),2024-10-31,,,
"Baby Toddler fruit and vegetables, with grain",2709359,Survey (FNDDS),2024-10-31,,,
"Baby Toddler fruit and vegetables, with yogurt",2709360,Survey (FNDDS),2024-10-31,,,
"Baby Toddler fruit, vegetables, and meat",2709361,Survey (FNDDS),2024-10-31,,,
"Baby Toddler juice, fruit and vegetable",2709378,Survey (FNDDS),2024-10-31,,,
"Fruit and vegetable smoothie, added protein",2710147,Survey (FNDDS),2024-10-31,,,
"Fruit and vegetable smoothie, non-dairy",2710148,Survey (FNDDS),2024-10-31,,,
"Baby Toddler fruit and vegetables, Stage 2",2709357,Survey (FNDDS),2024-10-31,,,
"Baby Toddler fruit and vegetables, Stage 3",2709358,Survey (FNDDS),2024-10-31,,,
"Babyfood, fruit and vegetable, apple and sweet potato",170952,SR Legacy,2019-04-01,,,
"Fruit and vegetable smoothie, non-dairy, added protein",2710149,Survey (FNDDS),2024-10-31,,,
"Vegetable and fruit juice drink, with high vitamin C",2710581,Survey (FNDDS),2024-10-31,,,
"Vegetable and fruit juice, 100% juice, with high vitamin C",2710145,Survey (FNDDS),2024-10-31,,,
"Vegetable and fruit juice drink, with high vitamin C, light",2710595,Survey (FNDDS),2024-10-31,,,
"Beverages, Mixed vegetable and fruit juice drink, with added nutrients",173197,SR Legacy,2019-04-01,,,
"Vegetable and fruit juice drink, with high vitamin C, diet",2710594,Survey (FNDDS),2024-10-31,,,
"Babyfood, vegetables, garden vegetable, strained",172284,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, mix vegetables junior",172283,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, mix vegetables strained",173515,SR Legacy,2019-04-01,,,
Biryani with vegetables,2708985,Survey (FNDDS),2024-10-31,,,
Vegetable chips,2709447,Survey (FNDDS),2024-10-31,,,
"Bread, vegetable",2707650,Survey (FNDDS),2024-10-31,,,
"Congee, with vegetables",2708983,Survey (FNDDS),2024-10-31,,,
"Fajita, vegetable",2708607,Survey (FNDDS),2024-10-31,,,
"Quesadilla, with vegetables",2708594,Survey (FNDDS),2024-10-31,,,
"Soup, vegetable",2710113,Survey (FNDDS),2024-10-31,,,
"Stew, vegetable",2710063,Survey (FNDDS),2024-10-31,,,
Vegetable curry,2710067,Survey (FNDDS),2024-10-31,,,
Vegetable smoothie,2710152,Survey (FNDDS),2024-10-31,,,
Vegetable tempura,2710065,Survey (FNDDS),2024-10-31,,,
"Vegetables, pickled",2710101,Survey (FNDDS),2024-10-31,,,
"Beverages, vegetable and fruit juice blend, 100% juice, with added vitamins A, C, E",174175,SR Legacy,2019-04-01,,,
"Snacks, vegetable chips, made from garden vegetables",174796,SR Legacy,2019-04-01,,,
Mixed vegetable juice,2709810,Survey (FNDDS),2024-10-31,,,
"Bread, vegetable, toasted",2707651,Survey (FNDDS),2024-10-31,,,
"Pasta, vegetable, cooked",2708351,Survey (FNDDS),2024-10-31,,,
"Babyfood, crackers, vegetable",170972,SR Legacy,2019-04-01,,,
"Bacon, for use with vegetables",2710239,Survey (FNDDS),2024-10-31,,,
"Beef, for use with vegetables",2710241,Survey (FNDDS),2024-10-31,,,
"Cheese, cottage, with vegetables",169078,SR Legacy,2019-04-01,,,
"Cheese, cottage, with vegetables",2705752,Survey (FNDDS),2024-10-31,,,
"Cheese, processed, with vegetables",2705771,Survey (FNDDS),2024-10-31,,,
"Chicken, for use with vegetables",2710242,Survey (FNDDS),2024-10-31,,,
Cucumber and vegetable namasu,2709818,Survey (FNDDS),2024-10-31,,,
Dressing with meat and vegetables,2708749,Survey (FNDDS),2024-10-31,,,
"Empanada, beef, with vegetables",2708712,Survey (FNDDS),2024-10-31,,,
"Empanada, chicken, with vegetables",2708714,Survey (FNDDS),2024-10-31,,,
Gelatin salad with vegetables,2710312,Survey (FNDDS),2024-10-31,,,
"Gravy, for use with vegetables",2710245,Survey (FNDDS),2024-10-31,,,
"Ham, for use with vegetables",2710240,Survey (FNDDS),2024-10-31,,,
"Lasagna, meatless, with vegetables",2708759,Survey (FNDDS),2024-10-31,,,
"Quesadilla, chicken, with vegetables",2708596,Survey (FNDDS),2024-10-31,,,
"Raw vegetable, NFS",2709763,Survey (FNDDS),2024-10-31,,,
"Sambar, vegetable stew",2707430,Survey (FNDDS),2024-10-31,,,
"Soup, cream of vegetable",2710109,Survey (FNDDS),2024-10-31,,,
"Soup, vegetable, canned",2710111,Survey (FNDDS),2024-10-31,,,
"Soup, vegetable, with meat",2710116,Survey (FNDDS),2024-10-31,,,
"Sushi roll, vegetable",2708966,Survey (FNDDS),2024-10-31,,,
Vegetable curry with rice,2710068,Survey (FNDDS),2024-10-31,,,
"Vegetable dip, light",2705628,Survey (FNDDS),2024-10-31,,,
"Vegetable dip, regular",2705627,Survey (FNDDS),2024-10-31,,,
"Vegetable mixture, dried",2710038,Survey (FNDDS),2024-10-31,,,
"Vegetable oil, NFS",2710180,Survey (FNDDS),2024-10-31,,,
Vegetable sandwich on wheat,2709134,Survey (FNDDS),2024-10-31,,,
Vegetable sandwich on white,2709132,Survey (FNDDS),2024-10-31,,,
Vegetable sandwich wrap,2709136,Survey (FNDDS),2024-10-31,,,
Vegetables as ingredient in curry,2710810,Survey (FNDDS),2024-10-31,,,
Vegetables as ingredient in soups,2710811,Survey (FNDDS),2024-10-31,,,
Vegetables as ingredient in stews,2710812,Survey (FNDDS),2024-10-31,,,
"Beverages, Vegetable and fruit juice drink, reduced calorie, with low-calorie sweetener, added vitamin C",174173,SR Legacy,2019-04-01,,,
"Fruit smoothie, with whole fruit and dairy",2705514,Survey (FNDDS),2024-10-31,,,
"Fruit smoothie, with whole fruit, no dairy",2709334,Survey (FNDDS),2024-10-31,,,
"Topping, fruit",2710286,Survey (FNDDS),2024-10-31,,,
Dressing with chicken or turkey and vegetables,2708748,Survey (FNDDS),2024-10-31,,,
"Tomato and vegetable juice, 100%",2709731,Survey (FNDDS),2024-10-31,,,
Topping from vegetable pizza,2705788,Survey (FNDDS),2024-10-31,,,
Spaghetti sauce with added vegetables,2709746,Survey (FNDDS),2024-10-31,,,
